中文名,英文名,影片容量
生化危机4：来生/恶灵古堡4：阴阳界(4K原盘+国语次世代),Resident Evil: Afterlife (2010),
生化危机5：惩罚/恶灵古堡5:天谴日/生化危机之灭绝真相(4K原盘+含国语次世代),Resident Evil: Retribution 3D (2012),56.8G
生化危机：终章/生化危机6(4K原盘+含国语次世代),Resident Evil: The Final Chapter (2017),55.5G
加勒比海盜：鬼盜船魔咒,Pirates of the Caribbean: The Curse of the Black Pearl (2003),
加勒比海盜2：聚魂棺,Pirates of the Caribbean: Dead Man's Chest (2006),
加勒比海盜3：世界的盡頭,Pirates of the Caribbean: At World's End (2007),
加勒比海盜4：驚濤怪浪,Pirates of the Caribbean: On Stranger Tides (2011),
加勒比海盜5：死無對證,Pirates of the Caribbean: Dead Men Tell No Tales (2017),
007皇家赌场/007：大战皇家赌场(4K原盘+含国语次世代),Casino Royale (2006),63.3G
007量子危机/007：大破量子危机(4K原盘+含国语次世代),Quantum of Solace (2008),60.6G
007大破天幕杀机(4K原盘+含国语次世代),Skyfall (2012),63.3G
007：幽灵党/007：大破幽灵危机/007：鬼影帝国(4K原盘+含国语次世代),Spectre (2015),69G
007：无暇赴死,No Time to Die (2021),
变形金刚,Transformers (2007),
变形金刚2(4K原盘+国语次世代),Transformers: Revenge of the Fallen (2009),90.7G
变形金刚3：月黑之时,Transformers: Dark of the Moon (2011),
变形金刚4: 绝迹重生(4K原盘+含国语次世代),Transformers: Age of Extinction (2014),94.4G
变形金刚5：最后的骑士,Transformers: The Last Knight (2017),
大黄蜂,Bumblebee (2018),
变形金刚：超能勇士崛起/变形金刚：万兽崛起/变形金刚7(4K原盘+含国语次世代音轨),Transformers: Rise of the Beasts (2023),87.5G
钢铁侠(4K原盘+国语次世代音轨),Iron Man (2008),62.7G
钢铁侠2(4K原盘+含国语次世代),Iron Man 2 (2010),57.2G
钢铁侠3(4K原盘+含国语次世代),Iron Man 3 (2013),72.5G
阿凡达(4K原盘+含国语次世代),Avatar (2009),82.5G
阿凡达：水之道/阿凡达2/阿凡达2：水之道(含国语音轨),Avatar: The Way of Water (2022),36.7G
创：战纪/创：光速战记/电子世界争霸战2(4K原盘+含国语音轨),Tron: Legacy (2010),58.7G
创：战神/创：战纪3(4K原盘+国语次世代),Tron: Ares (2025),58.4G
权力的游戏 第一季,Game of Thrones Season 1 (2011),
权力的游戏/冰与火之歌 第二季(4K原盘),Game of Thrones Season 2 (2012),330G
权力的游戏/冰与火之歌 第三季(4K原盘),Game of Thrones (2013),329G
权力的游戏/冰与火之歌 第四季(4K原盘),Game of Thrones (2014),328G
权力的游戏/冰与火之歌 第五季(4K原盘),Game of Thrones Season 5 (2015),318G
权力的游戏/冰与火之歌 第六季(4K原盘),Game of Thrones Season 6 (2016),315G
权力的游戏/冰与火之歌 第七季(4K原盘),Game of Thrones Season 7 (2017),236G
权力的游戏 第八季/冰与火之歌 第八季(4K原盘),Game of Thrones Season 8 (2019),259G
猩球崛起,Rise of the Planet of the Apes (2011),
猩球崛起2：黎明之戰,Dawn of the Planet of the Apes (2014),
猩球崛起3：終極決戰,War for the Planet of the Apes (2017),
王國降臨,Kingdom of the Planet of the Apes (2024),
复仇者联盟,The Avengers (2012),
复仇者联盟2：奥创纪元,Avengers: Age of Ultron (2015),
复仇者联盟3：无限战争,Avengers: Infinity War (2018),
复仇者联盟4：终局之战,Avengers: Endgame (2019),
霍比特人1：意外之旅(4K原盘+加长版+国语次世代),The Hobbit: An Unexpected Journey (2012),84.4G
霍比特人2：史矛革之战(4K原盘+加长版+国语次世代),The Hobbit: The Desolation of Smaug (2013),95.3G
霍比特人3：五军之战,The Hobbit: The Battle of the Five Armies (2014),
饥饿游戏,The Hunger Games (2012),
饥饿游戏2：星火燎原,The Hunger Games: Catching Fire (2013),
饥饿游戏3：自由幻梦（上）,The Hunger Games: Mockingjay - Part 1 (2014),
饥饿游戏3：自由幻梦（下）,The Hunger Games: Mockingjay - Part 2 (2015),
饥饿游戏：鸣鸟与蛇之歌(4K原盘+含国语音轨),The Hunger Games: The Ballad of Songbirds & Snakes (2023),89.2G
雷神1/雷神(4K原盘+国语次世代音轨),Thor (2011),
雷神2：黑暗世界(4K原盘+国语次世代音轨),Thor: The Dark World (2013),52G
雷神3：诸神黄昏(4K原盘+国语次世代音轨),Thor: Ragnarok (2017),63.1G
